numero_experimento;dataset;estructura_de_datos;clave;cantidad_consultas;tiempo_ejecucion
1;auspol2019;hash_cerrado_quadratic;user_id;170000;0.011942300
1;auspol2019;hash_cerrado_quadratic;user_id;180000;0.012319700
1;auspol2019;hash_cerrado_quadratic;screen_name;10000;0.004590700
1;auspol2019;hash_cerrado_quadratic;screen_name;20000;0.011753500
1;auspol2019;hash_cerrado_quadratic;screen_name;30000;0.013307800
1;auspol2019;hash_cerrado_quadratic;screen_name;40000;0.015405600
1;auspol2019;hash_cerrado_quadratic;screen_name;50000;0.016595700
1;auspol2019;hash_cerrado_quadratic;screen_name;60000;0.024412100
1;auspol2019;hash_cerrado_quadratic;screen_name;70000;0.026202100
1;auspol2019;hash_cerrado_quadratic;screen_name;80000;0.027939700
1;auspol2019;hash_cerrado_quadratic;screen_name;90000;0.029341800
1;auspol2019;hash_cerrado_quadratic;screen_name;100000;0.030713300
1;auspol2019;hash_cerrado_quadratic;screen_name;110000;0.032447600
1;auspol2019;hash_cerrado_quadratic;screen_name;120000;0.034043000
1;auspol2019;hash_cerrado_quadratic;screen_name;130000;0.035213000
1;auspol2019;hash_cerrado_quadratic;screen_name;140000;0.036112900
1;auspol2019;hash_cerrado_quadratic;screen_name;150000;0.037209900
1;auspol2019;hash_cerrado_quadratic;screen_name;160000;0.038813800
1;auspol2019;hash_cerrado_quadratic;screen_name;170000;0.040519900
1;auspol2019;hash_cerrado_quadratic;screen_name;180000;0.041550900
1;auspol2019;hash_cerrado_double;user_id;10000;0.001122600
1;auspol2019;hash_cerrado_double;user_id;20000;0.002165700
1;auspol2019;hash_cerrado_double;user_id;30000;0.002585800
1;auspol2019;hash_cerrado_double;user_id;40000;0.002999400
1;auspol2019;hash_cerrado_double;user_id;50000;0.003429500
1;auspol2019;hash_cerrado_double;user_id;60000;0.005495100
1;auspol2019;hash_cerrado_double;user_id;70000;0.005862300
1;auspol2019;hash_cerrado_double;user_id;80000;0.006468100
1;auspol2019;hash_cerrado_double;user_id;90000;0.006869700
1;auspol2019;hash_cerrado_double;user_id;100000;0.007264300
1;auspol2019;hash_cerrado_double;user_id;110000;0.007586000
1;auspol2019;hash_cerrado_double;user_id;120000;0.007900700
1;auspol2019;hash_cerrado_double;user_id;130000;0.008217200
1;auspol2019;hash_cerrado_double;user_id;140000;0.008523900
1;auspol2019;hash_cerrado_double;user_id;150000;0.008888700
1;auspol2019;hash_cerrado_double;user_id;160000;0.009326300
1;auspol2019;hash_cerrado_double;user_id;170000;0.009725500
1;auspol2019;hash_cerrado_double;user_id;180000;0.010065700
1;auspol2019;hash_cerrado_double;screen_name;10000;0.002328500
1;auspol2019;hash_cerrado_double;screen_name;20000;0.005051600
1;auspol2019;hash_cerrado_double;screen_name;30000;0.005806600
1;auspol2019;hash_cerrado_double;screen_name;40000;0.006503500
1;auspol2019;hash_cerrado_double;screen_name;50000;0.007205600
1;auspol2019;hash_cerrado_double;screen_name;60000;0.012810000
1;auspol2019;hash_cerrado_double;screen_name;70000;0.014247700
1;auspol2019;hash_cerrado_double;screen_name;80000;0.015659600
1;auspol2019;hash_cerrado_double;screen_name;90000;0.016911100
1;auspol2019;hash_cerrado_double;screen_name;100000;0.018158400
1;auspol2019;hash_cerrado_double;screen_name;110000;0.019436800
1;auspol2019;hash_cerrado_double;screen_name;120000;0.020695000
1;auspol2019;hash_cerrado_double;screen_name;130000;0.021921100
1;auspol2019;hash_cerrado_double;screen_name;140000;0.023150900
1;auspol2019;hash_cerrado_double;screen_name;150000;0.024465100
1;auspol2019;hash_cerrado_double;screen_name;160000;0.025896300
1;auspol2019;hash_cerrado_double;screen_name;170000;0.027066500
1;auspol2019;hash_cerrado_double;screen_name;180000;0.028079400
1;auspol2019;unordered_map;user_id;10000;0.001768100
1;auspol2019;unordered_map;user_id;20000;0.003109400
1;auspol2019;unordered_map;user_id;30000;0.004138600
1;auspol2019;unordered_map;user_id;40000;0.005317500
1;auspol2019;unordered_map;user_id;50000;0.006013600
1;auspol2019;unordered_map;user_id;60000;0.006835100
1;auspol2019;unordered_map;user_id;70000;0.007532800
1;auspol2019;unordered_map;user_id;80000;0.008265000
1;auspol2019;unordered_map;user_id;90000;0.008874200
1;auspol2019;unordered_map;user_id;100000;0.009422100
1;auspol2019;unordered_map;user_id;110000;0.009995300
1;auspol2019;unordered_map;user_id;120000;0.010534200
1;auspol2019;unordered_map;user_id;130000;0.011100800
1;auspol2019;unordered_map;user_id;140000;0.011602900
1;auspol2019;unordered_map;user_id;150000;0.012382100
1;auspol2019;unordered_map;user_id;160000;0.013223800
1;auspol2019;unordered_map;user_id;170000;0.014803500
1;auspol2019;unordered_map;user_id;180000;0.015359500
1;auspol2019;unordered_map;screen_name;10000;0.001501800
1;auspol2019;unordered_map;screen_name;20000;0.003028800
1;auspol2019;unordered_map;screen_name;30000;0.004047100
1;auspol2019;unordered_map;screen_name;40000;0.005250600
1;auspol2019;unordered_map;screen_name;50000;0.006061000
1;auspol2019;unordered_map;screen_name;60000;0.006954700
1;auspol2019;unordered_map;screen_name;70000;0.007798500
1;auspol2019;unordered_map;screen_name;80000;0.008654700
1;auspol2019;unordered_map;screen_name;90000;0.009447900
1;auspol2019;unordered_map;screen_name;100000;0.010160800
1;auspol2019;unordered_map;screen_name;110000;0.010908300
1;auspol2019;unordered_map;screen_name;120000;0.011602800
1;auspol2019;unordered_map;screen_name;130000;0.012347100
1;auspol2019;unordered_map;screen_name;140000;0.013009900
1;auspol2019;unordered_map;screen_name;150000;0.013904800
1;auspol2019;unordered_map;screen_name;160000;0.014998300
1;auspol2019;unordered_map;screen_name;170000;0.017221800
1;auspol2019;unordered_map;screen_name;180000;0.018071500
2;auspol2019;hash_abierto;user_id;10000;0.001853400
2;auspol2019;hash_abierto;user_id;20000;0.005396200
2;auspol2019;hash_abierto;user_id;30000;0.006301200
2;auspol2019;hash_abierto;user_id;40000;0.006987100
2;auspol2019;hash_abierto;user_id;50000;0.007668800
2;auspol2019;hash_abierto;user_id;60000;0.012562500
2;auspol2019;hash_abierto;user_id;70000;0.013185000
2;auspol2019;hash_abierto;user_id;80000;0.013767600
2;auspol2019;hash_abierto;user_id;90000;0.014270000
2;auspol2019;hash_abierto;user_id;100000;0.014738900
2;auspol2019;hash_abierto;user_id;110000;0.015143900
2;auspol2019;hash_abierto;user_id;120000;0.015554600
2;auspol2019;hash_abierto;user_id;130000;0.015988600
2;auspol2019;hash_abierto;user_id;140000;0.016414700
2;auspol2019;hash_abierto;user_id;150000;0.016989900
2;auspol2019;hash_abierto;user_id;160000;0.017675100
2;auspol2019;hash_abierto;user_id;170000;0.018264600
2;auspol2019;hash_abierto;user_id;180000;0.018717300
2;auspol2019;hash_abierto;screen_name;10000;0.003453900
2;auspol2019;hash_abierto;screen_name;20000;0.005652500
2;auspol2019;hash_abierto;screen_name;30000;0.006553700
2;auspol2019;hash_abierto;screen_name;40000;0.007246000
2;auspol2019;hash_abierto;screen_name;50000;0.007944900
2;auspol2019;hash_abierto;screen_name;60000;0.011296300
2;auspol2019;hash_abierto;screen_name;70000;0.011958200
2;auspol2019;hash_abierto;screen_name;80000;0.012655700
2;auspol2019;hash_abierto;screen_name;90000;0.013310700
2;auspol2019;hash_abierto;screen_name;100000;0.013972300
2;auspol2019;hash_abierto;screen_name;110000;0.014576500
2;auspol2019;hash_abierto;screen_name;120000;0.015164600
2;auspol2019;hash_abierto;screen_name;130000;0.015904200
2;auspol2019;hash_abierto;screen_name;140000;0.016480800
2;auspol2019;hash_abierto;screen_name;150000;0.017225100
2;auspol2019;hash_abierto;screen_name;160000;0.018231900
2;auspol2019;hash_abierto;screen_name;170000;0.019305300
2;auspol2019;hash_abierto;screen_name;180000;0.020327400
2;auspol2019;hash_cerrado_linear;user_id;10000;0.001535500
