estructura_de_datos;clave;cantidad_consultas;tiempo_promedio;tiempo_desviacion_estandar;repeticiones_usadas
hash_cerrado_linear;screen_name;80000;0.010873845;0.0008554163839754788;20
hash_cerrado_linear;screen_name;90000;0.01140232;0.0009257009825276361;20
hash_cerrado_linear;screen_name;100000;0.01189609;0.0009677904872766405;20
hash_cerrado_linear;screen_name;110000;0.012372975;0.0009994857087390915;20
hash_cerrado_linear;screen_name;120000;0.012846615;0.0010203705618290683;20
hash_cerrado_linear;screen_name;130000;0.013322945;0.0010480451790558006;20
hash_cerrado_linear;screen_name;140000;0.013766700000000002;0.0010685667892826798;20
hash_cerrado_linear;screen_name;150000;0.01430599;0.001095592207990969;20
hash_cerrado_linear;screen_name;160000;0.01493899;0.0011352865647515013;20
hash_cerrado_linear;screen_name;170000;0.01552471;0.0011651076629267051;20
hash_cerrado_linear;screen_name;180000;0.016042265;0.0011844740584015826;20
hash_cerrado_linear;user_id;10000;0.00114194;0.0002426723791018405;20
hash_cerrado_linear;user_id;20000;0.00212293;0.0005321540438830214;20
hash_cerrado_linear;user_id;30000;0.002509535;0.0007255830963874213;20
hash_cerrado_linear;user_id;40000;0.0028943799999999998;0.0007943184696064261;20
hash_cerrado_linear;user_id;50000;0.003302475;0.0010221356006833002;20
hash_cerrado_linear;user_id;60000;0.005005365;0.0016126544790222505;20
hash_cerrado_linear;user_id;70000;0.005330275000000001;0.0017236865113303245;20
hash_cerrado_linear;user_id;80000;0.00566379;0.0018763249465798546;20
hash_cerrado_linear;user_id;90000;0.0059491349999999995;0.0019474082212750038;20
hash_cerrado_linear;user_id;100000;0.00621331;0.0020087947174205834;20
hash_cerrado_linear;user_id;110000;0.006484995;0.0020814788622957985;20
hash_cerrado_linear;user_id;120000;0.006738719999999999;0.0021437910067521925;20
hash_cerrado_linear;user_id;130000;0.00700214;0.0022252664477718054;20
hash_cerrado_linear;user_id;140000;0.007243825;0.0022736963690906027;20
hash_cerrado_linear;user_id;150000;0.0075493900000000004;0.0023109563568039604;20
hash_cerrado_linear;user_id;160000;0.007952225;0.0024392383897384206;20
hash_cerrado_linear;user_id;170000;0.008306194999999999;0.002517405521663127;20
hash_cerrado_linear;user_id;180000;0.008588025;0.0025657328795769267;20
hash_cerrado_quadratic;screen_name;10000;0.00204967;0.0006204523325343922;20
hash_cerrado_quadratic;screen_name;20000;0.00443982;0.0017462699208372838;20
hash_cerrado_quadratic;screen_name;30000;0.0051562299999999995;0.001965639059360648;20
hash_cerrado_quadratic;screen_name;40000;0.0058498099999999996;0.0023311478207097888;20
hash_cerrado_quadratic;screen_name;50000;0.0064721299999999996;0.0024909037556889394;20
hash_cerrado_quadratic;screen_name;60000;0.010160575;0.003456162433420079;20
hash_cerrado_quadratic;screen_name;70000;0.010759620000000001;0.0037340495102290887;20
hash_cerrado_quadratic;screen_name;80000;0.011355885;0.003999979910117314;20
hash_cerrado_quadratic;screen_name;90000;0.011891535;0.004200629127852536;20
hash_cerrado_quadratic;screen_name;100000;0.012418015000000001;0.004396690912406379;20
hash_cerrado_quadratic;screen_name;110000;0.012972995000000001;0.004668841137908453;20
hash_cerrado_quadratic;screen_name;120000;0.01351802;0.004914994099327185;20
hash_cerrado_quadratic;screen_name;130000;0.014045815;0.0050665051583154265;20
hash_cerrado_quadratic;screen_name;140000;0.014533180000000001;0.00516185406109084;20
hash_cerrado_quadratic;screen_name;150000;0.015123124999999998;0.005283668016970087;20
hash_cerrado_quadratic;screen_name;160000;0.015809105;0.0055027581131718815;20
hash_cerrado_quadratic;screen_name;170000;0.016454005;0.005754954467740223;20
hash_cerrado_quadratic;screen_name;180000;0.016979325;0.005873752385591075;20
hash_cerrado_quadratic;user_id;10000;0.0011337699999999999;0.00023860730367786533;20
hash_cerrado_quadratic;user_id;20000;0.00212625;0.00037184868243894464;20
hash_cerrado_quadratic;user_id;30000;0.0024853650000000002;0.0004432199706632552;20
hash_cerrado_quadratic;user_id;40000;0.002838695;0.0005128434433061469;20
hash_cerrado_quadratic;user_id;50000;0.00318902;0.0005471875696879933;20
hash_cerrado_quadratic;user_id;60000;0.00486344;0.0007117757988225459;20
hash_cerrado_quadratic;user_id;70000;0.005194590000000001;0.0007886305104419944;20
hash_cerrado_quadratic;user_id;80000;0.005515125;0.0008422626974094058;20
hash_cerrado_quadratic;user_id;90000;0.00578627;0.0008809312985340237;20
hash_cerrado_quadratic;user_id;100000;0.006044515;0.0009127712501094213;20
hash_cerrado_quadratic;user_id;110000;0.006294255;0.0009436155759825301;20
hash_cerrado_quadratic;user_id;120000;0.006549575;0.0009956009604756319;20
hash_cerrado_quadratic;user_id;130000;0.006798735;0.0010317271795009827;20
hash_cerrado_quadratic;user_id;140000;0.00703696;0.001070534120698143;20
hash_cerrado_quadratic;user_id;150000;0.007330615;0.0011253316527630988;20
