dataset;estructura_de_datos;clave;cantidad_consultas;memoria_bytes
auspol2019;hash_cerrado_quadratic;screen_name;110000;4115080
auspol2019;hash_cerrado_quadratic;screen_name;120000;4115080
auspol2019;hash_cerrado_quadratic;screen_name;130000;4115080
auspol2019;hash_cerrado_quadratic;screen_name;140000;4115080
auspol2019;hash_cerrado_quadratic;screen_name;150000;4115080
auspol2019;hash_cerrado_quadratic;screen_name;160000;4115080
auspol2019;hash_cerrado_quadratic;screen_name;170000;4115080
auspol2019;hash_cerrado_quadratic;screen_name;180000;4115080
auspol2019;hash_cerrado_double;user_id;10000;411472
auspol2019;hash_cerrado_double;user_id;20000;822992
auspol2019;hash_cerrado_double;user_id;30000;822992
auspol2019;hash_cerrado_double;user_id;40000;822992
auspol2019;hash_cerrado_double;user_id;50000;822992
auspol2019;hash_cerrado_double;user_id;60000;1646032
auspol2019;hash_cerrado_double;user_id;70000;1646032
auspol2019;hash_cerrado_double;user_id;80000;1646032
auspol2019;hash_cerrado_double;user_id;90000;1646032
auspol2019;hash_cerrado_double;user_id;100000;1646032
auspol2019;hash_cerrado_double;user_id;110000;1646032
auspol2019;hash_cerrado_double;user_id;120000;1646032
auspol2019;hash_cerrado_double;user_id;130000;1646032
auspol2019;hash_cerrado_double;user_id;140000;1646032
auspol2019;hash_cerrado_double;user_id;150000;1646032
auspol2019;hash_cerrado_double;user_id;160000;1646032
auspol2019;hash_cerrado_double;user_id;170000;1646032
auspol2019;hash_cerrado_double;user_id;180000;1646032
auspol2019;hash_cerrado_double;screen_name;10000;1028680
auspol2019;hash_cerrado_double;screen_name;20000;2057480
auspol2019;hash_cerrado_double;screen_name;30000;2057480
auspol2019;hash_cerrado_double;screen_name;40000;2057480
auspol2019;hash_cerrado_double;screen_name;50000;2057480
auspol2019;hash_cerrado_double;screen_name;60000;4115080
auspol2019;hash_cerrado_double;screen_name;70000;4115080
auspol2019;hash_cerrado_double;screen_name;80000;4115080
auspol2019;hash_cerrado_double;screen_name;90000;4115080
auspol2019;hash_cerrado_double;screen_name;100000;4115080
auspol2019;hash_cerrado_double;screen_name;110000;4115080
auspol2019;hash_cerrado_double;screen_name;120000;4115080
auspol2019;hash_cerrado_double;screen_name;130000;4115080
auspol2019;hash_cerrado_double;screen_name;140000;4115080
auspol2019;hash_cerrado_double;screen_name;150000;4115080
auspol2019;hash_cerrado_double;screen_name;160000;4115080
auspol2019;hash_cerrado_double;screen_name;170000;4115080
auspol2019;hash_cerrado_double;screen_name;180000;4115080
auspol2019;unordered_map;user_id;10000;265688
auspol2019;unordered_map;user_id;20000;496792
auspol2019;unordered_map;user_id;30000;606928
auspol2019;unordered_map;user_id;40000;848432
auspol2019;unordered_map;user_id;50000;914888
auspol2019;unordered_map;user_id;60000;988976
auspol2019;unordered_map;user_id;70000;1043360
auspol2019;unordered_map;user_id;80000;1101080
auspol2019;unordered_map;user_id;90000;1133504
auspol2019;unordered_map;user_id;100000;1159712
auspol2019;unordered_map;user_id;110000;1180040
auspol2019;unordered_map;user_id;120000;1198760
auspol2019;unordered_map;user_id;130000;1215560
auspol2019;unordered_map;user_id;140000;1227920
auspol2019;unordered_map;user_id;150000;1271552
auspol2019;unordered_map;user_id;160000;1341824
auspol2019;unordered_map;user_id;170000;1734592
auspol2019;unordered_map;user_id;180000;1760536
auspol2019;unordered_map;screen_name;10000;449192
auspol2019;unordered_map;screen_name;20000;827560
auspol2019;unordered_map;screen_name;30000;1047832
auspol2019;unordered_map;screen_name;40000;1360520
auspol2019;unordered_map;screen_name;50000;1493432
auspol2019;unordered_map;screen_name;60000;1641608
auspol2019;unordered_map;screen_name;70000;1750376
auspol2019;unordered_map;screen_name;80000;1865816
auspol2019;unordered_map;screen_name;90000;1930664
auspol2019;unordered_map;screen_name;100000;1983080
auspol2019;unordered_map;screen_name;110000;2023736
auspol2019;unordered_map;screen_name;120000;2061176
auspol2019;unordered_map;screen_name;130000;2094776
auspol2019;unordered_map;screen_name;140000;2119496
auspol2019;unordered_map;screen_name;150000;2206760
auspol2019;unordered_map;screen_name;160000;2347304
auspol2019;unordered_map;screen_name;170000;2787352
auspol2019;unordered_map;screen_name;180000;2839240
